Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0002,,,Horizontal Scale,0.01
Sample Interval,2e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,0.5,0.5,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-9.426e-04,0.49,0.88,,-4.7130e-02,0.68
-9.424e-04,0.49,0.94,,-4.7120e-02,0.7
-9.422e-04,0.49,0.88,,-4.7110e-02,0.64
-9.420e-04,0.45,0.9,,-4.7100e-02,0.68
-9.418e-04,0.47,0.9,,-4.7090e-02,0.66
-9.416e-04,0.45,0.88,,-4.7080e-02,0.66
-9.414e-04,0.45,0.86,,-4.7070e-02,0.68
-9.412e-04,0.47,0.88,,-4.7060e-02,0.7
-9.410e-04,0.51,0.88,,-4.7050e-02,0.7
-9.408e-04,0.51,0.86,,-4.7040e-02,0.64
-9.406e-04,0.47,0.86,,-4.7030e-02,0.72
-9.404e-04,0.49,0.88,,-4.7020e-02,0.7
-9.402e-04,0.49,0.88,,-4.7010e-02,0.68
-9.400e-04,0.47,0.88,,-4.7000e-02,0.7
-9.398e-04,0.49,0.9,,-4.6990e-02,0.7
-9.396e-04,0.49,0.9,,-4.6980e-02,0.7
-9.394e-04,0.49,0.9,,-4.6970e-02,0.68
-9.392e-04,0.45,0.86,,-4.6960e-02,0.68
-9.390e-04,0.47,0.88,,-4.6950e-02,0.68
-9.388e-04,0.47,0.88,,-4.6940e-02,0.7
-9.386e-04,0.49,0.9,,-4.6930e-02,0.7
-9.384e-04,0.51,0.84,,-4.6920e-02,0.68
-9.382e-04,0.51,0.84,,-4.6910e-02,0.7
-9.380e-04,0.51,0.86,,-4.6900e-02,0.66
-9.378e-04,0.47,0.9,,-4.6890e-02,0.66
-9.376e-04,0.47,0.84,,-4.6880e-02,0.7
-9.374e-04,1.47,0.82,,-4.6870e-02,0.66
-9.372e-04,1.49,0.84,,-4.6860e-02,0.66
-9.370e-04,1.47,0.84,,-4.6850e-02,0.68
-9.368e-04,1.41,0.86,,-4.6840e-02,0.64
-9.366e-04,1.47,0.84,,-4.6830e-02,0.66
-9.364e-04,1.47,0.82,,-4.6820e-02,0.68
-9.362e-04,1.47,0.78,,-4.6810e-02,0.68
-9.360e-04,1.45,0.82,,-4.6800e-02,0.68
-9.358e-04,1.45,0.8,,-4.6790e-02,0.68
-9.356e-04,1.49,0.84,,-4.6780e-02,0.7
-9.354e-04,1.49,0.84,,-4.6770e-02,0.68
-9.352e-04,1.51,0.84,,-4.6760e-02,0.66
-9.350e-04,1.53,0.86,,-4.6750e-02,0.66
-9.348e-04,1.53,0.84,,-4.6740e-02,0.66
-9.346e-04,1.47,0.86,,-4.6730e-02,0.7
-9.344e-04,1.51,0.86,,-4.6720e-02,0.66
-9.342e-04,1.55,0.88,,-4.6710e-02,0.66
-9.340e-04,1.49,0.88,,-4.6700e-02,0.7
-9.338e-04,1.53,0.86,,-4.6690e-02,0.7
-9.336e-04,1.49,0.86,,-4.6680e-02,0.7
-9.334e-04,1.49,0.88,,-4.6670e-02,0.68
-9.332e-04,1.47,0.86,,-4.6660e-02,0.66
-9.330e-04,1.49,0.88,,-4.6650e-02,0.68
-9.328e-04,1.47,0.92,,-4.6640e-02,0.68
-9.326e-04,1.49,0.92,,-4.6630e-02,0.68
-9.324e-04,1.47,0.92,,-4.6620e-02,0.72
-9.322e-04,1.45,0.92,,-4.6610e-02,0.68
-9.320e-04,1.49,0.9,,-4.6600e-02,0.66
-9.318e-04,1.49,0.94,,-4.6590e-02,0.68
-9.316e-04,1.57,0.92,,-4.6580e-02,0.68
-9.314e-04,1.49,0.88,,-4.6570e-02,0.68
-9.312e-04,1.51,0.92,,-4.6560e-02,0.66
-9.310e-04,1.51,0.92,,-4.6550e-02,0.66
-9.308e-04,1.49,0.96,,-4.6540e-02,0.7
-9.306e-04,1.49,0.92,,-4.6530e-02,0.66
-9.304e-04,1.47,0.9,,-4.6520e-02,0.68
-9.302e-04,1.47,0.9,,-4.6510e-02,0.7
-9.300e-04,1.45,0.92,,-4.6500e-02,0.68
-9.298e-04,1.45,0.88,,-4.6490e-02,0.68
-9.296e-04,1.47,0.9,,-4.6480e-02,0.7
-9.294e-04,1.43,0.9,,-4.6470e-02,0.64
-9.292e-04,1.49,0.94,,-4.6460e-02,0.68
-9.290e-04,1.51,0.92,,-4.6450e-02,0.64
-9.288e-04,1.49,0.94,,-4.6440e-02,0.7
-9.286e-04,1.49,0.94,,-4.6430e-02,0.68
-9.284e-04,1.53,0.94,,-4.6420e-02,0.7
-9.282e-04,1.47,0.94,,-4.6410e-02,0.66
-9.280e-04,1.53,0.94,,-4.6400e-02,0.66
-9.278e-04,1.49,0.92,,-4.6390e-02,0.7
-9.276e-04,1.49,0.92,,-4.6380e-02,0.66
-9.274e-04,1.49,0.96,,-4.6370e-02,0.66
-9.272e-04,1.47,0.96,,-4.6360e-02,0.66
-9.270e-04,1.49,0.96,,-4.6350e-02,0.66
-9.268e-04,1.49,1.02,,-4.6340e-02,0.7
-9.266e-04,1.51,0.98,,-4.6330e-02,0.68
-9.264e-04,1.51,0.96,,-4.6320e-02,0.68
-9.262e-04,1.51,0.98,,-4.6310e-02,0.68
-9.260e-04,1.51,0.96,,-4.6300e-02,0.68
-9.258e-04,1.47,0.94,,-4.6290e-02,0.66
-9.256e-04,1.49,0.92,,-4.6280e-02,0.68
-9.254e-04,1.45,0.98,,-4.6270e-02,0.68
-9.252e-04,1.45,0.96,,-4.6260e-02,0.72
-9.250e-04,1.45,0.96,,-4.6250e-02,0.72
-9.248e-04,1.51,0.98,,-4.6240e-02,0.68
-9.246e-04,1.45,0.98,,-4.6230e-02,0.68
-9.244e-04,1.49,0.96,,-4.6220e-02,0.68
-9.242e-04,1.49,0.98,,-4.6210e-02,0.68
-9.240e-04,1.53,1,,-4.6200e-02,0.68
-9.238e-04,1.51,1,,-4.6190e-02,0.7
-9.236e-04,1.53,0.98,,-4.6180e-02,0.66
-9.234e-04,1.51,1,,-4.6170e-02,0.7
-9.232e-04,1.49,0.98,,-4.6160e-02,0.64
-9.230e-04,1.49,1.02,,-4.6150e-02,0.7
-9.228e-04,1.45,1,,-4.6140e-02,0.64
-9.226e-04,1.45,1,,-4.6130e-02,0.68
-9.224e-04,1.51,1.02,,-4.6120e-02,0.66
-9.222e-04,1.51,1.04,,-4.6110e-02,0.68
-9.220e-04,1.47,1.02,,-4.6100e-02,0.66
-9.218e-04,1.51,1.02,,-4.6090e-02,0.66
-9.216e-04,1.49,1.02,,-4.6080e-02,0.7
-9.214e-04,1.47,1,,-4.6070e-02,0.68
-9.212e-04,1.49,1,,-4.6060e-02,0.68
-9.210e-04,1.49,0.98,,-4.6050e-02,0.7
-9.208e-04,1.49,1,,-4.6040e-02,0.66
-9.206e-04,1.47,1,,-4.6030e-02,0.64
-9.204e-04,1.47,1.02,,-4.6020e-02,0.7
-9.202e-04,1.47,1.02,,-4.6010e-02,0.66
-9.200e-04,1.49,1.02,,-4.6000e-02,0.66
-9.198e-04,1.49,1.02,,-4.5990e-02,0.66
-9.196e-04,1.53,1.06,,-4.5980e-02,0.66
-9.194e-04,1.53,1.02,,-4.5970e-02,0.68
-9.192e-04,1.49,1.02,,-4.5960e-02,0.7
-9.190e-04,1.51,1.02,,-4.5950e-02,0.66
-9.188e-04,1.53,1.04,,-4.5940e-02,0.64
-9.186e-04,1.49,1.02,,-4.5930e-02,0.68
-9.184e-04,1.47,1.06,,-4.5920e-02,0.7
-9.182e-04,1.51,1.06,,-4.5910e-02,0.68
-9.180e-04,1.49,1.06,,-4.5900e-02,0.68
-9.178e-04,1.51,1.06,,-4.5890e-02,0.7
-9.176e-04,1.47,1.08,,-4.5880e-02,0.7
-9.174e-04,1.49,1.02,,-4.5870e-02,0.68
-9.172e-04,1.49,1.06,,-4.5860e-02,0.7
-9.170e-04,1.49,1.06,,-4.5850e-02,0.7
-9.168e-04,1.47,1.04,,-4.5840e-02,0.7
-9.166e-04,1.47,1.06,,-4.5830e-02,0.7
-9.164e-04,1.45,1.04,,-4.5820e-02,0.72
-9.162e-04,1.43,1.06,,-4.5810e-02,0.7
-9.160e-04,1.45,1.06,,-4.5800e-02,0.7
-9.158e-04,1.47,1.08,,-4.5790e-02,0.68
-9.156e-04,1.49,1.08,,-4.5780e-02,0.68
-9.154e-04,1.51,1.06,,-4.5770e-02,0.68
-9.152e-04,1.49,1.06,,-4.5760e-02,0.7
-9.150e-04,1.49,1.04,,-4.5750e-02,0.68
-9.148e-04,1.47,1.1,,-4.5740e-02,0.68
-9.146e-04,1.47,1.1,,-4.5730e-02,0.7
