Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0004,,,Horizontal Scale,0.01
Sample Interval,4e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.9252e-03,1.4,1.28,,-4.8130e-02,0.7
-1.9248e-03,1.48,1.32,,-4.8120e-02,0.68
-1.9244e-03,1.36,1.28,,-4.8110e-02,0.7
-1.9240e-03,1.44,1.24,,-4.8100e-02,0.68
-1.9236e-03,1.4,1.32,,-4.8090e-02,0.68
-1.9232e-03,1.36,1.28,,-4.8080e-02,0.68
-1.9228e-03,1.4,1.28,,-4.8070e-02,0.7
-1.9224e-03,1.44,1.32,,-4.8060e-02,0.66
-1.9220e-03,1.48,1.28,,-4.8050e-02,0.68
-1.9216e-03,1.48,1.24,,-4.8040e-02,0.66
-1.9212e-03,1.4,1.28,,-4.8030e-02,0.7
-1.9208e-03,1.4,1.28,,-4.8020e-02,0.7
-1.9204e-03,1.36,1.36,,-4.8010e-02,0.66
-1.9200e-03,1.4,1.24,,-4.8000e-02,0.7
-1.9196e-03,1.44,1.24,,-4.7990e-02,0.68
-1.9192e-03,1.44,1.28,,-4.7980e-02,0.66
-1.9188e-03,1.32,1.28,,-4.7970e-02,0.66
-1.9184e-03,1.32,1.24,,-4.7960e-02,0.68
-1.9180e-03,1.44,1.28,,-4.7950e-02,0.68
-1.9176e-03,1.48,1.2,,-4.7940e-02,0.7
-1.9172e-03,1.4,1.24,,-4.7930e-02,0.66
-1.9168e-03,1.4,1.28,,-4.7920e-02,0.68
-1.9164e-03,1.44,1.28,,-4.7910e-02,0.66
-1.9160e-03,1.44,1.28,,-4.7900e-02,0.68
-1.9156e-03,1.32,1.28,,-4.7890e-02,0.7
-1.9152e-03,1.36,1.24,,-4.7880e-02,0.68
-1.9148e-03,1.44,1.28,,-4.7870e-02,0.66
-1.9144e-03,1.36,1.24,,-4.7860e-02,0.68
-1.9140e-03,1.48,1.32,,-4.7850e-02,0.7
-1.9136e-03,1.44,1.24,,-4.7840e-02,0.66
-1.9132e-03,1.4,1.28,,-4.7830e-02,0.68
-1.9128e-03,1.4,1.28,,-4.7820e-02,0.68
-1.9124e-03,1.4,1.28,,-4.7810e-02,0.7
-1.9120e-03,1.36,1.24,,-4.7800e-02,0.7
-1.9116e-03,1.44,1.24,,-4.7790e-02,0.68
-1.9112e-03,1.44,1.24,,-4.7780e-02,0.72
-1.9108e-03,1.48,1.24,,-4.7770e-02,0.7
-1.9104e-03,1.4,1.28,,-4.7760e-02,0.7
-1.9100e-03,1.44,1.24,,-4.7750e-02,0.7
-1.9096e-03,1.44,1.32,,-4.7740e-02,0.68
-1.9092e-03,1.4,1.32,,-4.7730e-02,0.7
-1.9088e-03,1.44,1.28,,-4.7720e-02,0.68
-1.9084e-03,1.4,1.24,,-4.7710e-02,0.66
-1.9080e-03,1.36,1.24,,-4.7700e-02,0.66
-1.9076e-03,1.4,1.28,,-4.7690e-02,0.68
-1.9072e-03,1.44,1.28,,-4.7680e-02,0.66
-1.9068e-03,1.4,1.24,,-4.7670e-02,0.7
-1.9064e-03,1.4,1.2,,-4.7660e-02,0.68
-1.9060e-03,1.44,1.28,,-4.7650e-02,0.66
